title,average_rating,number_of_reviews,price,availability,category,publication_year
Analytics Engineering with SQL and dbt: Building Meaningful Data Models at Scale,4.1,14.0,39..92,In Stock,Data Mining,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 1st edition (January 16, 2024)"
Data Quality Fundamentals: A Practitioner's Guide to Building Trustworthy Data Pipelines,4.2,35.0,45..99,Unavailable,Storage & Retrieval,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 1st edition (October 11, 2022)"
Designing Machine Learning Systems: An Iterative Process for Production-Ready Applications,4.6,677.0,40..00,In Stock,Intelligence & Semantics,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 1st edition (June 21, 2022)"
LLM Engineer's Handbook: Master the art of engineering large language models from concept to production,4.7,59.0,49..09,In Stock,Intelligence & Semantics,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing (October 22, 2024)"
Data Privacy: A runbook for engineers,4.8,55.0,35..39,In Stock,"Internet, Groupware, & Telecommunications","Publisher
                                    ‏
                                    :
                                    ‎
                                 Manning (February 15, 2022)"
"Azure Data Engineering Cookbook: Get well versed in various data engineering techniques in Azure using this recipe-based guide, 2nd Edition",3.4,16.0,49..14,In Stock,Business Intelligence Tools,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing; 2nd ed. edition (September 26, 2022)"
The Strategic Data Playbook: A Six-Step Data Strategy Framework to Turn Your Company into a Data-Driven Powerhouse. Unlock Profits and Productivity with Advanced Analytics and Artificial Intelligence,4.8,32.0,2..99,Unavailable,Software Project Management,
"The Self-Taught Cloud Computing Engineer: A comprehensive professional study guide to AWS, Azure, and GCP",4.9,233.0,38..46,In Stock,Software Development,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing (September 22, 2023)"
Data Engineering with Google Cloud Platform: A practical guide to operationalizing scalable data analytics systems on GCP,4.7,30.0,37..52,Unavailable,Data Mining,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing; 1st edition (March 31, 2022)"
Principles and Practice of Big Data,5.0,4.0,53..63,In Stock,Storage & Retrieval,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Academic Press; 2nd edition (August 8, 2018)"
Data Engineering on Azure,4.5,13.0,43..74,Unavailable,Data in the Enterprise,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Manning (August 17, 2021)"
Fuzzy Data Matching with SQL: Enhancing Data Quality and Query Performance,Previous,,28..45,Unavailable,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 1st edition (November 7, 2023)"
"Fundamentals of Data Engineering: A Comprehensive Guide to Designing, Building, and Managing Data Pipelines, Storage Solutions, and Processing Frameworks.",5.0,1.0,14..95,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Independently published (September 22, 2024)"
Building ETL Pipelines with Python: Create and deploy enterprise-ready ETL pipelines by employing modern methods,4.3,10.0,25..90,In Stock,Data Mining,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing (September 29, 2023)"
Data Engineering on Azure,4.5,13.0,43..74,Unavailable,Data in the Enterprise,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Manning (August 17, 2021)"
Learning Spark: Lightning-Fast Data Analytics,4.7,305.0,41..56,Unavailable,Software Development,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 2nd edition (August 25, 2020)"
Data Structures and Algorithms,4.3,115.0,61..47,Unavailable,Data Structures,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Pearson; First Edition (January 1, 1983)"
Living in Data,4.5,83.0,11..29,In Stock,Public Art,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Picador Paper (August 30, 2022)"
"Fundamentals of Data Engineering: A Comprehensive Guide to Designing, Building, and Managing Data Pipelines, Storage Solutions, and Processing Frameworks.",5.0,1.0,14..95,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Independently published (September 22, 2024)"
Data Privacy: A runbook for engineers,4.8,55.0,35..39,In Stock,"Internet, Groupware, & Telecommunications","Publisher
                                    ‏
                                    :
                                    ‎
                                 Manning (February 15, 2022)"
"Ultimate Data Engineering with Databricks: Develop Scalable Data Pipelines Using Data Engineering's Core Tenets Such as Delta Tables, Ingestion, ... Security, and Scalability (English Edition)",4.2,12.0,37..95,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Orange Education Pvt Ltd (February 15, 2024)"
"Kafka Data Engineer (KDE) Handbook - Kafka Development & Engineering Guide: Advanced Kafka Skills for Data Engineers (KDE): Custom Topic Management, ... Streaming, Real-time Analytics (KAFKA 2025)",Previous,,38..32,In Stock,Data Processing,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Independently published (February 10, 2025)"
Machine Learning Engineering with Python - Second Edition: Manage the lifecycle of machine learning models using MLOps with practical examples,4.7,49.0,39..99,In Stock,Neural Networks,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing; 2nd ed. edition (August 31, 2023)"
"Data Science on AWS: Implementing End-to-End, Continuous AI and Machine Learning Pipelines",4.4,232.0,11..15,In Stock,Computer Vision & Pattern Recognition,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 1st edition (May 11, 2021)"
Prompt Engineering for Generative AI: Future-Proof Inputs for Reliable AI Outputs,4.5,43.0,50..00,In Stock,Neural Networks,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 1st edition (June 25, 2024)"
Python Programming and SQL: 5 books in 1 - The #1 Coding Course from Beginner to Advanced. Learn it Well & Fast (Computer Programming),4.4,355.0,24..39,In Stock,Object-Oriented Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Independently published (January 10, 2023)"
Data Engineering with Alteryx: Helping data engineers apply DataOps practices with Alteryx,4.3,13.0,31..39,In Stock,Business Intelligence Tools,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing (June 30, 2022)"
"Python Data Engineering Resources: Forge Your Path to Success in Data Engineering, Machine Learning and AI (Future-Proof Tech Skills: Including AI, Python, SQL, Linux And More Book 1)",4.9,19.0,4..99,Unavailable,Python,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Companion Code SL; 1st edition (April 25, 2024)"
"Mastering Data Engineering and Analytics with Databricks: A Hands-on Guide to Build Scalable Pipelines Using Databricks, Delta Lake, and MLflow (English Edition)",4.2,3.0,44..95,In Stock,Data Mining,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Orange Education Pvt. Ltd (October 3, 2024)"
Aeronautical Engineer's Data Book,4.4,7.0,40..33,Unavailable,Aerodynamics,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Butterworth-Heinemann; 1st edition (November 13, 2001)"
Feature Engineering & Selection for Explainable Models: A Second Course for Data Scientists (Revised Edition),4.9,66.0,9..55,Unavailable,Data Mining,
Data Management: Interactions with Computer Architecture and Systems,Previous,,79..99,Unavailable,Computer Science,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Cambridge University Press; 1st edition (November 28, 2024)"
Data Observability for Data Engineering: Proactive strategies for ensuring data accuracy and addressing broken data pipelines,3.7,4.0,18..49,Unavailable,Data Warehousing,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing; 1st edition (December 29, 2023)"
Data Mesh: Delivering Data-Driven Value at Scale,4.5,330.0,43..99,In Stock,Tools,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 1st edition (April 12, 2022)"
"The Enterprise Data Catalog: Improve Data Discovery, Ensure Data Governance, and Enable Innovation",4.5,47.0,31..37,Unavailable,Business Intelligence Tools,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 1st edition (March 21, 2023)"
Python and SQL Bible: From Beginner to World Expert: Unleash the full potential of data analysis and manipulation by mastering Python and SQL,3.8,4.0,39..90,In Stock,SQL,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Staten House (August 27, 2024)"
Databricks Certified Data Engineer Associate Study Guide,Previous,,64..99,Unavailable,Professional,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 1st edition (April 24, 2024)"
Applied Machine Learning and AI for Engineers: Solve Business Problems That Can't Be Solved Algorithmically,4.6,23.0,72..01,In Stock,Intelligence & Semantics,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 1st edition (December 20, 2022)"
Machine Learning Production Systems: Engineering Machine Learning Models and Pipelines,5.0,2.0,53..35,In Stock,Intelligence & Semantics,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 1st edition (November 5, 2024)"
AI 101 for TECH LEADERS and ENGINEERS: JUST ENOUGH TO BE DANGEROUS: Skip the Hype and Put Your FOMO to Rest — Harness AI Power BEFORE IT TAKES YOUR JOB!,5.0,1.0,0..00,Unavailable,Software Development,
Data Management at Scale: Modern Data Architecture with Data Mesh and Data Fabric,4.5,38.0,47..99,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 2nd edition (May 16, 2023)"
Statistics and Data Analysis for Engineers and Scientists (Transactions on Computer Systems and Networks),Previous,,59..99,Unavailable,Intelligence & Semantics,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Springer (January 29, 2025)"
"Data: Principles To Practice - Volume 2: Exploring Big Data, Data Science, Machine Learning, Data Analysis, Visualization, Security, and Ethical Insights for Organizational Success",4.9,31.0,1..99,Unavailable,Big Data,
Artificial Intelligence in Workplace Health and Safety (Intelligent Data-Driven Systems and Artificial Intelligence),Previous,,79..96,In Stock,Intelligence & Semantics,"Publisher
                                    ‏
                                    :
                                    ‎
                                 CRC Press; 1st edition (October 30, 2024)"
"Backup and Synchronization Using Syncthing and Restic: Open source, self-hosted solutions to keep your data secure and private.",5.0,4.0,3..99,Unavailable,Disaster & Recovery,"Publisher
                                    ‏
                                    :
                                    ‎
                                 No Fluff Press; 1st edition (February 16, 2025)"
Engineers' Practical Databook: A Technical Reference Guide for Students and Professionals,4.6,812.0,18..04,In Stock,Engineering,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Independently published (August 2, 2018)"
Data Science and Analytics with Python (Chapman & Hall/CRC Data Mining and Knowledge Discovery Series),Previous,,64..99,This title has not yet been released.,Probability & Statistics,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Chapman and Hall/CRC; 2nd edition (April 14, 2025)"
Databricks Data Intelligence Platform: Unlocking the GenAI Revolution,5.0,6,36..99,In Stock,Intelligence & Semantics,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Apress; First Edition (October 13, 2024)"
"Augment It: How Architecture, Engineering and Construction Leaders Leverage Data and Artificial Intelligence to Build a Sustainable Future",4.3,30,12..35,In Stock,Robotics & Automation,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Grammar Factory Publishing (April 22, 2022)"
Data Management: Interactions with Computer Architecture and Systems,Previous,,79..99,Unavailable,Computer Science,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Cambridge University Press; 1st edition (November 28, 2024)"
Fundamentals of Data Observability: Implement Trustworthy End-to-End Data Solutions,4.0,3,36..49,Unavailable,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 O'Reilly Media; 1st edition (September 19, 2023)"
The TTL Data Book for Design Engineers Second Edition,4.5,29,7..99,Unavailable,Book Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Texas Instruments Inc; Second Edition (January 1, 1976)"
Coding Interview Patterns: Nail Your Next Coding Interview,4.5,76,35..93,In Stock,Data Structures,"Publisher
                                    ‏
                                    :
                                    ‎
                                 ByteByteGo (November 25, 2024)"
Official Google Cloud Certified Professional Machine Learning Engineer Study Guide (Sybex Study Guide),4.1,44,57..45,In Stock,Intelligence & Semantics,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Wiley; 1st edition (November 21, 2023)"
AI Guide for Beginners: How to Use AI Prompts & Master Artificial Intelligence in 4 Practical Days (21 Days To Make Money With AI),4.6,201,14..79,In Stock,Home-Based,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Independently published (November 12, 2024)"
"Data Analytics, Data Visualization & Communicating Data: 3 books in 1: Learn the Processes of Data Analytics and Data Science, Create Engaging Data Visualizations, and Present Data Effectively",4.5,79,0..00,Unavailable,Data Modeling & Design,
Code: The Hidden Language of Computer Hardware and Software,4.8,708,28..19,Unavailable,Unicode,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Microsoft Press; 2nd edition (August 7, 2022)"
Python Feature Engineering Cookbook: A complete guide to crafting powerful features for your machine learning models,4.8,13,43..13,In Stock,Data Modeling & Design,"Publisher
                                    ‏
                                    :
                                    ‎
                                 Packt Publishing; 3rd ed. edition (August 30, 2024)"
